@relation phishing_emails

@attribute text string
@attribute has_url numeric
@attribute urgency numeric
@attribute class {phishing,legit}

@data
"URGENT! Verify PayPal account http://bit.ly/fakepaypal",1,2,phishing
"Project meeting scheduled",0,0,legit
"FREE iPhone claim now >>>",0,1,phishing
"Monthly report attached",0,0,legit
"Account suspended: click http://recover.com",1,1,phishing
"Team lunch Friday",0,0,legit
"Security alert: unusual login detected",0,1,phishing
"Your invoice #INV-4872 is ready",0,0,legit
"Claim your prize at http://freegifts.tk",1,1,phishing
"Meeting minutes from yesterday",0,0,legit
"Your Netflix subscription expired. Renew here: http://netflix-update.com",1,2,phishing
"Reminder: Submit your timesheet by EOD",0,0,legit
"IMPORTANT: Your bank account is locked. Unlock now: http://secure-bank.net",1,2,phishing
"New company policy document attached",0,0,legit
"Warning: Your password will expire in 24 hours",0,1,phishing
"HR Announcement: Office closure on Monday",0,0,legit
"Your Amazon order #12345 has shipped",0,0,legit
"Tax refund pending! Click to claim: http://irs-refund.com",1,1,phishing
"Agenda for tomorrow's workshop",0,0,legit
"Your social media account was hacked. Secure it now!",0,1,phishing
"IT Maintenance scheduled for tonight",0,0,legit
"Limited offer: 50% discount on antivirus! http://fake-antivirus.com",1,1,phishing
"Feedback requested: Quarterly employee survey",0,0,legit
"Your package delivery failed. Update address: http://track-package.com",1,1,phishing
"Welcome to the new team member, John Doe!",0,0,legit
"Adobe Creative Suite 3 Master Collection for Win http://oemmerchant.com",1,0,phishing
"Perl Developer position available - see attached requirements",0,0,legit
"Legally ELIMINATE your credit card debt http://freshplateworks.com",1,1,phishing
"Re: [TuxOnIce-users] preparing hibernate 1.98 release",0,0,legit
"Become a lover no woman will resist! http://whitedone.com",1,1,phishing
"Update of /cvsroot/spambayes/spambayes/spambayes",0,0,legit
"Upgrade your sex life with these techniques http://brightmade.com",1,0,phishing
"Weka 3.5.7.exe installation problems - need help",0,0,legit
"Fake Swiss Replica Watches from Rolex to Panerai",0,0,phishing
"[perl #46011] Bug report from hzyoze@fysh.org",0,0,legit
"Get a 9 inch tool today! http://milddone.com",1,1,phishing
"CEAS 2007 Live Spam Challenge Call for Participation",0,0,legit
"Bachelor, Master, Doctorate diplomas available - call now!",0,1,phishing
"ORGANIC BYTES #140: Health, Justice and Sustainability News",0,0,legit
"Express herbal enlargement - grow up to 4 inches! http://pacelike.com",1,0,phishing
"R-help: Multivariate mixed model analysis question",0,0,legit
"Your troubles caused by small dimension will soon be over!",0,1,phishing
"False positive report for SpamBayes filter",0,0,legit
"Largest selection of medication products http://rx-discount.com",1,0,phishing
"Daily Top 10 from CNN.com - August 1, 2008",0,0,legit
"Secret to unlocking women's G-spots http://shinemade.com",1,1,phishing
"Book request: Disappearance in Holmes Lake area 1972",0,0,legit
"FROM:MR. JAMES NGOLA.\nCONFIDENTIAL TEL: 233-21-664042\nI am the manager of bill and exchange at the foreign remittance department...",0,2,phishing
"Dear Friend,\n\nI am Mr. Ben Suleman a custom officer working with the Nigeria Custom Services. I decided to contact you for assistance and cooperation...",0,1,phishing
"FROM HIS ROYAL MAJESTY (HRM) CROWN RULER OF ELEGUSHI KINGDOM LAGOS-NIGERIA\nSTRICTLY CONFIDENTIAL.\nMy greetings to you. I am HRM Oba...",0,2,phishing
"FROM HIS ROYAL MAJESTY (HRM) CROWN RULER OF ELEGUSHI KINGDOM LAGOS-NIGERIA\nSTRICTLY CONFIDENTIAL.\nMy greetings to you. I am HRM Oba...",0,2,phishing
"Dear sir, \n \nIt is with a heart full of hope that I write to seek your help in the context below. I am Mrs. Mariam Abacha, widow of the late...",0,2,phishing
